,artist_name,track_name,track_id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
118,Usher,Lil Freak (feat. Nicki Minaj),2sdarYql1R0GAdFsdb4LDM,0.000879,0.834,234253,0.628,0.000192,7,0.292,-6.616,1,0.0626,139.958,4,0.766
119,JAY-Z,Empire State Of Mind,3xkxcbnc7G3XYuZt6eUnI5,0.0265,0.503,277107,0.955,0.0,11,0.265,-1.533,1,0.381,173.521,4,0.818
120,Drake,Unforgettable,5LZ0ZCRXrklIpnzn4Tcyde,0.103,0.546,213813,0.87,0.0,4,0.111,-5.107,0,0.114,156.145,4,0.071
121,Ivy Queen,La Vida Es Así,4zK05ecddIq3vfd08Aqi8y,0.0474,0.705,192307,0.8,1.5e-06,5,0.448,-8.332,1,0.123,156.109,4,0.48
122,Drake,Fireworks,73tgFzBug5Ifk1Retdtwk7,0.433,0.55,313280,0.758,0.0,0,0.162,-6.472,1,0.347,89.368,4,0.53
123,Action Bronson,Imported Goods,697zIbTO0LMhupzGblYREm,0.16,0.619,249773,0.937,0.0,1,0.17,-5.835,1,0.355,93.294,4,0.677
124,Kendrick Lamar,She Needs Me (Remix),6D5GoogBIBMUBlQ1CYTkOH,0.417,0.606,195791,0.835,1.11e-06,5,0.103,-6.107,1,0.265,100.145,4,0.313
125,Yelawolf,Box Chevy,1H05u9gUX86XDLcSF75PZD,0.285,0.807,293147,0.595,0.000223,6,0.0959,-7.508,0,0.052,131.011,4,0.194
126,JAY-Z,Run This Town,2a8CtZyPdd8w2csZh7oxpc,0.323,0.591,268013,0.921,0.0,1,0.302,-1.787,1,0.313,86.808,4,0.428
127,Cartel De Santa,Con el Coco Rapado,13mi6Ut0rcnvj88hLsTHDx,0.322,0.734,242733,0.826,0.0,2,0.0558,-3.099,1,0.112,87.99,4,0.542
128,Nicki Minaj,Roman's Revenge,7eK3fdGXCmhGfE8dKtETQU,0.518,0.802,276173,0.947,0.0,10,0.346,-2.868,1,0.311,112.416,4,0.444
129,Gorilla Zoe,Losin It,5pet2efUCCeAoEOWMCzdnq,0.0894,0.744,226115,0.455,1.75e-05,0,0.404,-9.858,0,0.34,136.085,4,0.495
130,Mac Miller,Don't Mind If I Do,5p2wzL0TEegwXc2v3vFbnb,0.15,0.736,138287,0.921,0.0,6,0.301,-4.91,1,0.213,105.065,4,0.714
131,Cartel De Santa,Volar Volar,41xUxmveSZGzWBIbinRapn,0.0185,0.62,293360,0.816,0.00741,1,0.0984,-6.208,1,0.222,179.992,4,0.668
132,Gorillaz,Broken,3THFKx88trZuOFlssVLJ5G,0.00452,0.493,197053,0.918,0.0858,0,0.427,-4.618,1,0.034,158.897,4,0.703
133,Lil Wayne,Bill Gates,610FzmkhFSsORpECZbjT4X,0.274,0.564,258787,0.798,3.44e-05,7,0.129,-5.392,1,0.227,90.67,5,0.669
134,Cartel De Santa,El Ratón y el Queso,0cZauExMq5UUsra2dM6g3c,0.00398,0.733,505760,0.885,0.0,1,0.364,-4.071,1,0.138,90.001,4,0.597
135,Calle 13,Muerte En Hawaii,3kNVYo6BJE9AENxzokM9YC,0.789,0.675,189867,0.588,0.0,3,0.95,-7.168,1,0.177,79.989,4,0.879
136,Farruko,Chulería en Pote,1EMzpS9y1Sd0AxlhfgjK1d,0.115,0.702,239935,0.856,6.37e-05,6,0.222,-5.239,1,0.0428,86.975,4,0.856
137,Kid Cudi,MANIAC,6R4flNWy1pWkjzwg3TCDlM,0.0781,0.522,178240,0.66,0.0785,5,0.671,-10.227,0,0.107,149.964,4,0.427
138,Nicki Minaj,Right Thru Me,180jaPAbXwB4nvtieXteYf,0.0876,0.381,235773,0.68,0.00147,1,0.168,-4.724,1,0.162,162.246,3,0.167
139,Lil Wayne,I'm Single,3C9UV0uRiF3DAKe1tCWIdU,0.044,0.567,333040,0.381,0.0,5,0.107,-5.238,0,0.507,85.537,5,0.689
140,Cosculluela,Prrrum,23YEpFgAVvr0w3cDm7EQ1Q,0.0991,0.832,238476,0.731,0.0,1,0.344,-4.815,1,0.228,90.069,4,0.712
141,Eminem,Seduction,2V7NoXGv2VDnLeTM7w8SFd,0.124,0.628,275400,0.847,0.0,6,0.652,-4.386,0,0.387,78.031,4,0.504
142,Eminem,On Fire,6HLZaECJKDjNE0jiGBeqxz,0.101,0.724,213493,0.909,0.0,8,0.415,-4.349,1,0.287,91.904,4,0.558
143,Gorillaz,To Binge (feat. Little Dragon),1dvOwoHwZB9SwvRw2Gv3nz,0.58,0.576,235707,0.511,3.89e-05,2,0.261,-7.006,1,0.0315,206.473,4,0.957
144,Yelawolf,Billy Crystal,5kteG7fLexn7VkwfEflFT1,0.0963,0.749,239973,0.846,0.0122,1,0.313,-7.518,1,0.0895,143.004,4,0.481
145,Eminem,Almost Famous,0ANExk8Iu85oqCgk82rG64,0.0253,0.537,292480,0.961,0.0,0,0.332,-1.498,1,0.295,82.44,4,0.487
